"Date","Apple","Samsung","LG","Motorola","Google","Unknown","Huawei","ZTE","Xiaomi","Alcatel","OnePlus","Oppo","HTC","Mobicel","Lenovo","Nokia","Sony","Asus","Sumsung","Kyocera","Coolpad","T-Mobile","RIM","Essential","BBK","Tecno","Unimax","Infinix","Blu","Realme","Micromax","Lava","LeEco","General Mobile","Ans","Other"
2019-01,57.22,25.38,5.49,3.66,2.27,1.09,0.76,0.9,0.85,0.23,0.21,0.28,0.29,0.2,0.22,0.13,0.12,0.08,0.03,0.08,0.1,0.02,0.06,0.01,0.03,0.03,0,0.03,0.02,0,0.02,0.02,0.01,0.02,0.01,0.15
2019-02,57.33,25.14,5.51,3.72,2.36,1.2,0.75,0.82,0.86,0.22,0.21,0.27,0.28,0.22,0.21,0.14,0.12,0.08,0.03,0.07,0.09,0.02,0.06,0.01,0.03,0.03,0,0.01,0.02,0,0.02,0.01,0.01,0.02,0.01,0.14
2019-03,54.74,25.59,6.7,3.6,2.22,1.16,0.85,1.09,0.8,0.43,0.39,0.32,0.26,0.19,0.2,0.17,0.21,0.19,0.11,0.13,0.07,0.06,0.07,0.04,0.04,0.03,0,0.02,0.03,0,0.01,0.02,0.02,0.01,0.03,0.2
2019-04,54.61,25.43,6.54,3.73,2.34,1.38,0.94,0.99,0.75,0.49,0.42,0.31,0.26,0.19,0.18,0.17,0.23,0.19,0.12,0.12,0.07,0.06,0.08,0.04,0.03,0.02,0,0.02,0.03,0,0.01,0.01,0.02,0.02,0.02,0.19
2019-05,53.62,25.67,6.85,3.77,2.42,1.9,0.97,0.96,0.68,0.46,0.43,0.32,0.23,0.18,0.17,0.16,0.21,0.18,0.13,0.12,0.06,0.05,0.04,0.04,0.03,0.02,0,0.02,0.02,0,0.02,0.02,0.02,0.01,0.02,0.19
2019-06,52.95,26.1,6.75,3.93,2.6,2.14,0.93,0.97,0.68,0.43,0.43,0.26,0.21,0.18,0.17,0.16,0.17,0.16,0.14,0.13,0.06,0.06,0.04,0.04,0.03,0.02,0,0.02,0.02,0,0.02,0.01,0.02,0.01,0.01,0.16
2019-07,55.67,24.8,6.24,3.84,2.52,1.56,0.96,0.84,0.71,0.36,0.43,0.27,0.19,0.2,0.19,0.16,0.16,0.14,0.14,0.1,0.06,0.05,0.05,0.04,0.03,0.02,0,0.02,0.02,0,0.02,0.01,0.02,0.01,0.01,0.17
2019-08,55.55,24.17,6.38,3.88,2.6,1.5,1.05,0.78,0.82,0.65,0.44,0.3,0.19,0.22,0.17,0.17,0.15,0.14,0.14,0.09,0.05,0.05,0.04,0.04,0.03,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.21
2019-09,55.65,25.07,6.27,3.76,2.51,0.97,1.23,0.67,0.72,0.59,0.5,0.25,0.18,0.2,0.15,0.17,0.15,0.12,0.13,0.08,0.11,0.04,0.03,0.04,0.02,0.02,0.04,0.02,0.02,0.04,0.02,0.02,0.01,0.01,0.01,0.19
2019-10,54.25,26.79,6.4,3.58,2.5,0.94,1.19,0.63,0.67,0.58,0.54,0.22,0.16,0.19,0.14,0.17,0.12,0.1,0.13,0.08,0.14,0.04,0.03,0.03,0.02,0.02,0.04,0.02,0.02,0.04,0.01,0.01,0.01,0.01,0.01,0.16
2019-11,55.7,26.29,6.03,3.45,2.51,0.84,1.11,0.56,0.6,0.52,0.52,0.21,0.13,0.18,0.13,0.17,0.11,0.09,0.12,0.1,0.15,0.05,0.02,0.03,0.02,0.02,0.05,0.02,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.14
2019-12,55.55,26.95,6.01,3.44,2.55,0.81,0.92,0.52,0.48,0.52,0.54,0.16,0.12,0.14,0.1,0.16,0.1,0.08,0.11,0.13,0.17,0.07,0.02,0.03,0.01,0.01,0.06,0.02,0.01,0.04,0,0.01,0.01,0.01,0.01,0.13
