"Date","Apple","Samsung","LG","Motorola","Google","Huawei","Unknown","OnePlus","Xiaomi","Alcatel","ZTE","Nokia","Oppo","Coolpad","Lenovo","Sumsung","Mobicel","Kyocera","Sony","HTC","T-Mobile","Asus","Realme","AT&T","Unimax","Infinix","Tecno","Essential","Wiko","Razer","RIM","Vivo","BBK","BlackBerry","Honor","Other"
2020-01,57.42,25.64,5.61,3.19,2.54,1.06,0.74,0.57,0.54,0.5,0.45,0.17,0.17,0.17,0.11,0.11,0.14,0.1,0.1,0.11,0.08,0.08,0.04,0.01,0.07,0.02,0.02,0.03,0.03,0,0.02,0.01,0.01,0.01,0.01,0.13
2020-02,58.4,25.1,5.4,3.09,2.54,1.07,0.72,0.58,0.54,0.49,0.4,0.18,0.16,0.16,0.1,0.1,0.13,0.09,0.09,0.1,0.08,0.07,0.04,0.03,0.05,0.02,0.02,0.03,0.03,0,0.02,0.01,0.02,0.01,0.01,0.13
2020-03,60.1,24.37,5.05,2.91,2.49,1.01,0.67,0.57,0.48,0.46,0.34,0.15,0.14,0.14,0.09,0.09,0.12,0.08,0.09,0.09,0.07,0.07,0.04,0.04,0.04,0.02,0.02,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.11
2020-04,61.25,23.9,4.92,2.8,2.41,0.9,0.61,0.56,0.43,0.47,0.32,0.14,0.13,0.14,0.09,0.09,0.11,0.08,0.08,0.08,0.07,0.06,0.03,0.04,0.04,0.02,0.01,0.02,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.1
2020-05,58.46,25.11,5.43,3.24,2.58,0.94,0.76,0.57,0.39,0.62,0.4,0.14,0.1,0.14,0.11,0.11,0.09,0.1,0.08,0.08,0.07,0.06,0.03,0.04,0.06,0.02,0.02,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.11
2020-06,58.17,25.59,5.05,3.3,2.71,1.07,0.84,0.61,0.44,0.45,0.3,0.16,0.1,0.12,0.1,0.11,0.1,0.1,0.08,0.08,0.07,0.06,0.03,0.05,0.05,0.02,0.02,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.1
2020-07,58.78,25.22,4.74,3.34,2.67,1.08,0.89,0.61,0.47,0.41,0.27,0.17,0.12,0.11,0.12,0.1,0.12,0.1,0.08,0.07,0.06,0.06,0.03,0.05,0.03,0.02,0.02,0.03,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.11
2020-08,59.33,24.93,4.57,3.34,2.57,1.1,0.96,0.6,0.47,0.4,0.25,0.17,0.12,0.1,0.12,0.1,0.11,0.1,0.08,0.06,0.06,0.05,0.03,0.05,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.1
2020-09,59.72,24.72,4.54,3.3,2.53,1.08,0.93,0.62,0.5,0.37,0.23,0.17,0.13,0.1,0.11,0.1,0.11,0.1,0.07,0.06,0.06,0.05,0.04,0.05,0.02,0.04,0.04,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.1
2020-10,60.21,24.37,4.42,3.32,2.54,0.96,1.04,0.61,0.54,0.34,0.21,0.16,0.15,0.1,0.11,0.1,0.09,0.09,0.07,0.05,0.05,0.05,0.05,0.05,0.02,0.05,0.04,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.1
2020-11,61.23,23.79,4.14,3.29,2.51,0.88,1.25,0.59,0.53,0.29,0.18,0.15,0.15,0.1,0.11,0.09,0,0.1,0.07,0.05,0.03,0.05,0.06,0.05,0.01,0.05,0.05,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.1
2020-12,61.07,24.12,4.33,3.21,2.34,0.84,0.94,0.58,0.59,0.27,0.17,0.14,0.17,0.09,0.11,0.09,0,0.1,0.06,0.05,0.09,0.05,0.08,0.04,0.05,0.05,0.05,0.02,0.01,0.02,0.01,0.14,0.01,0.01,0.01,0.1
