"Date","Apple","Samsung","LG","Motorola","Google","Unknown","Huawei","Xiaomi","OnePlus","Oppo","Vivo","Alcatel","T-Mobile","Nokia","Realme","ZTE","Lenovo","Unimax","Kyocera","Coolpad","Sumsung","Infinix","Tecno","Sony","Asus","HTC","AT&T","Itel","Razer","Essential","RIM","Infinex","Other"
2021-01,61.47,23.8,4.24,3.15,2.37,0.92,0.84,0.62,0.56,0.2,0.16,0.25,0.12,0.14,0.09,0.16,0.11,0.05,0.09,0.08,0.09,0.06,0.05,0.06,0.04,0.04,0.04,0.02,0.02,0.01,0.01,0.01,0.13
2021-02,60.72,24.1,4.35,3.24,2.34,1,0.83,0.7,0.58,0.21,0.19,0.24,0.14,0.15,0.11,0.16,0.13,0.05,0.09,0.09,0.09,0.06,0.06,0.06,0.04,0.04,0.04,0.01,0.02,0.01,0.01,0.01,0.13
2021-03,59.98,24.37,4.4,3.36,2.35,1.14,0.88,0.74,0.6,0.24,0.22,0.23,0.15,0.15,0.13,0.15,0.11,0.05,0.09,0.09,0.09,0.06,0.06,0.05,0.04,0.04,0.04,0.01,0.02,0.01,0.01,0.01,0.11
2021-04,59.13,24.47,4.35,3.46,2.33,1.69,0.92,0.83,0.59,0.26,0.23,0.2,0.16,0.17,0.14,0.14,0.11,0.05,0.09,0.09,0.08,0.06,0.05,0.06,0.05,0.04,0.03,0.01,0.01,0.01,0.02,0.01,0.12
2021-05,58.1,24.92,4.47,3.57,2.29,1.94,0.93,0.91,0.58,0.29,0.26,0.19,0.18,0.16,0.16,0.14,0.13,0.06,0.09,0.1,0.09,0.06,0.06,0.05,0.05,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.12
2021-06,57.62,25.43,4.54,3.75,2.24,1.52,0.92,0.98,0.58,0.32,0.29,0.19,0.19,0.17,0.18,0.13,0.12,0.07,0.1,0.1,0.09,0.06,0.06,0.06,0.05,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.12
2021-07,57.26,25.66,4.49,3.86,2.23,1.59,0.9,0.94,0.61,0.31,0.28,0.19,0.2,0.18,0.17,0.13,0.13,0.1,0.09,0.1,0.09,0.07,0.07,0.06,0.05,0.03,0.03,0.02,0.01,0.01,0.01,0.02,0.12
2021-08,56.7,27.06,4.16,3.74,2.19,1.04,0.88,0.94,0.83,0.3,0.29,0.17,0.2,0.15,0.16,0.12,0.13,0.24,0.09,0.08,0.08,0.09,0.08,0.04,0.04,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.11
2021-09,57.08,27.05,4.04,3.82,2.12,1.06,0.83,0.92,0.82,0.28,0.27,0.16,0.19,0.14,0.16,0.11,0.12,0.14,0.09,0.08,0.07,0.08,0.07,0.04,0.04,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.1
2021-10,57.46,27.17,3.92,3.89,2.08,1.04,0.77,0.84,0.79,0.25,0.23,0.15,0.17,0.14,0.14,0.1,0.12,0.11,0.09,0.08,0.07,0.07,0.06,0.04,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.09
2021-11,58.47,26.89,3.64,3.92,1.99,1.04,0.68,0.78,0.77,0.21,0.19,0.13,0.16,0.13,0.12,0.09,0.11,0.09,0.08,0.07,0.07,0.06,0.05,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.08
2021-12,59.15,26.44,3.32,3.94,2.38,1.06,0.64,0.72,0.73,0.18,0.16,0.12,0.14,0.13,0.11,0.08,0.11,0.06,0.08,0.06,0.07,0.05,0.04,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.07
