"Date","Apple","Samsung","Motorola","LG","Google","Unknown","OnePlus","Xiaomi","Huawei","T-Mobile","Oppo","Vivo","Nokia","Realme","TCL","Lenovo","Alcatel","Kyocera","Infinix","ZTE","Sumsung","Tecno","AT&T","Coolpad","Sony","Unimax","Cricket","HTC","Blu","Asus","Boost","Meizu","Itel","Schok","Other"
2022-01,59.87,26.45,3.91,2.99,2.28,0.91,0.83,0.65,0.43,0.22,0.17,0.15,0.13,0.11,0.06,0.1,0.11,0.08,0.05,0.07,0.06,0.04,0.04,0.05,0.04,0.05,0,0.02,0,0.03,0,0,0.01,0,0.09
2022-02,57.87,27.85,4.32,3.06,2.38,0.88,0.86,0.61,0.33,0.25,0.19,0.17,0.17,0.11,0.07,0.09,0.11,0.09,0.06,0.09,0.07,0.05,0.05,0.05,0.03,0.05,0,0.02,0,0.03,0,0,0.01,0,0.09
2022-03,57.65,28,4.53,2.89,2.38,0.99,0.85,0.59,0.34,0.25,0.17,0.17,0.19,0.1,0.07,0.09,0.1,0.09,0.06,0.08,0.07,0.04,0.04,0.05,0.03,0.04,0,0.02,0,0.03,0,0,0.01,0,0.09
2022-04,57.58,27.9,4.69,2.76,2.47,1.11,0.85,0.59,0.33,0.26,0.16,0.17,0.16,0.11,0.06,0.09,0.09,0.09,0.05,0.07,0.07,0.04,0.04,0.04,0.04,0.04,0,0.02,0,0.03,0,0,0.01,0,0.08
2022-05,57.43,28.08,4.79,2.61,2.46,1.02,0.84,0.66,0.35,0.25,0.18,0.18,0.18,0.11,0.07,0.08,0.09,0.08,0.06,0.06,0.06,0.05,0.04,0.04,0.04,0.04,0,0.02,0.01,0.03,0,0,0.01,0,0.08
2022-06,56.65,29.01,4.89,2.5,2.33,0.96,0.85,0.67,0.34,0.26,0.19,0.19,0.19,0.12,0.07,0.09,0.09,0.07,0.06,0.06,0.06,0.05,0.04,0.04,0.03,0.03,0,0.02,0.01,0.03,0,0.01,0.01,0,0.08
2022-07,55.26,30.4,5.02,2.49,2.3,0.95,0.83,0.64,0.32,0.27,0.18,0.17,0.2,0.12,0.08,0.09,0.08,0.07,0.06,0.06,0.06,0.05,0.04,0.04,0.03,0.03,0,0.02,0.01,0.02,0,0.01,0.01,0,0.08
2022-08,57.03,29.11,4.77,2.29,2.23,1,0.81,0.67,0.34,0.26,0.19,0.17,0.19,0.13,0.08,0.09,0.08,0.07,0.06,0.06,0.06,0.05,0.04,0.04,0.03,0.03,0,0.02,0.01,0.02,0,0.01,0.01,0,0.08
2022-09,55.43,30.11,4.92,2.2,2.28,0.99,0.84,0.7,0.37,0.31,0.22,0.21,0.19,0.16,0.13,0.09,0.07,0.07,0.07,0.05,0.06,0.06,0.05,0.04,0.03,0.03,0.05,0.04,0.04,0.02,0.03,0.03,0.01,0.02,0.1
2022-10,54.47,30.83,5.11,2.09,2.34,0.9,0.87,0.62,0.32,0.36,0.21,0.21,0.21,0.15,0.18,0.09,0.06,0.09,0.08,0.05,0.05,0.07,0.07,0.03,0.03,0.02,0.11,0.04,0.08,0.02,0.06,0.03,0.01,0.03,0.1
2022-11,55.72,29.76,5.19,1.87,2.26,0.95,0.88,0.67,0.3,0.34,0.23,0.21,0.2,0.16,0.18,0.08,0.06,0.08,0.08,0.05,0.05,0.07,0.06,0.03,0.04,0.02,0.11,0.04,0.08,0.02,0.06,0.01,0.01,0.03,0.09
2022-12,55.85,29.81,4.9,1.81,2.17,1.04,0.88,0.75,0.3,0.31,0.25,0.25,0.2,0.19,0.19,0.08,0.05,0.08,0.1,0.04,0.05,0.08,0.06,0.03,0.03,0.02,0.11,0.04,0.08,0.02,0.06,0.02,0.01,0.04,0.09
