"Date","Apple","Samsung","Motorola","Unknown","Google","LG","Xiaomi","OnePlus","Huawei","T-Mobile","Oppo","Vivo","Nokia","Realme","TCL","Infinix","Tecno","Blu","Lenovo","Cricket","Kyocera","HTC","AT&T","Schok","Sumsung","Alcatel","Boost","Sony","ZTE","Coolpad","Asus","Itel","Meizu","Honor","Other"
2023-01,57.77,28.57,4.59,1.08,2.11,1.68,0.75,0.83,0.29,0.26,0.24,0.24,0.17,0.19,0.18,0.1,0.07,0.07,0.09,0.08,0.08,0.04,0.06,0.04,0.05,0.05,0.05,0.03,0.05,0.03,0.02,0.01,0.02,0.01,0.11
2023-02,57.06,29.36,4.65,1.07,2.16,1.65,0.75,0.81,0.28,0.25,0.22,0.22,0.17,0.16,0.17,0.1,0.08,0.07,0.08,0.08,0.08,0.03,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.03,0.02,0.01,0.01,0.01,0.1
2023-03,56.82,29.47,4.74,1.18,2.1,1.81,0.7,0.78,0.28,0.24,0.19,0.19,0.21,0.15,0.16,0.08,0.07,0.07,0.08,0.08,0.08,0.06,0.05,0.05,0.05,0.04,0.04,0.03,0.05,0.03,0.02,0.01,0.01,0.01,0.09
2023-04,59.89,26.79,4.44,1.33,1.98,1.62,0.73,0.76,0.3,0.23,0.21,0.22,0.22,0.16,0.15,0.09,0.08,0.07,0.08,0.07,0.06,0.07,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.02,0.01,0.02,0.01,0.1
2023-05,62,24.77,4.06,2.11,1.97,1.31,0.71,0.71,0.27,0.23,0.25,0.23,0.18,0.17,0.14,0.09,0.08,0.08,0.07,0.07,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.01,0.01,0.02,0.01,0.08
2023-06,57.38,26.76,4.41,3.63,2.52,1.3,0.69,0.75,0.25,0.38,0.23,0.21,0.22,0.16,0.13,0.09,0.08,0.12,0.07,0.07,0.06,0.07,0.04,0.03,0.04,0.03,0.04,0.03,0.03,0.02,0.01,0.01,0.02,0.01,0.08
2023-07,57.12,26.72,4.34,4.06,2.52,1.2,0.74,0.75,0.27,0.36,0.25,0.23,0.18,0.18,0.13,0.1,0.09,0.12,0.07,0.07,0.06,0.04,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.02,0.01,0.02,0.02,0.01,0.08
2023-08,56.92,26.37,4.22,4.67,2.48,1.16,0.93,0.72,0.31,0.34,0.23,0.22,0.19,0.17,0.12,0.09,0.09,0.12,0.07,0.06,0.06,0.06,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.01,0.08
2023-09,56.44,26.56,4.23,4.96,2.42,1.08,1.05,0.69,0.32,0.34,0.23,0.22,0.2,0.18,0.11,0.1,0.1,0.12,0.07,0.06,0.06,0.06,0.04,0.05,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.07
2023-10,56.59,26.66,4.21,4.51,2.72,1.02,0.99,0.71,0.29,0.33,0.24,0.23,0.2,0.16,0.13,0.12,0.12,0.11,0.07,0.06,0.06,0.06,0.04,0.05,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.02,0.08
2023-11,58.33,24.83,3.92,4.96,2.56,0.89,1.09,0.7,0.32,0.32,0.26,0.26,0.2,0.18,0.15,0.14,0.13,0.1,0.07,0.05,0.05,0.06,0.04,0.04,0.03,0.03,0.02,0.04,0.02,0.02,0.02,0.03,0.01,0.02,0.1
2023-12,61.3,22.06,3.5,5.65,2.37,0.68,1.16,0.62,0.34,0.25,0.27,0.28,0.19,0.2,0.14,0.15,0.15,0.08,0.07,0.04,0.05,0.06,0.03,0.03,0.02,0.03,0.02,0.04,0.02,0.01,0.02,0.03,0.02,0.02,0.11
